iter,tiempo_ms,gflops
0,4.781056,898.330277
1,4.765120,901.334546
2,4.806560,893.563642
3,4.981984,862.099753
4,4.780608,898.414414
5,6.508832,659.867594
6,4.763808,901.582830
7,4.777568,898.986141
8,4.817696,891.498179
9,5.749280,747.044380
10,4.823840,890.362692
11,4.841312,887.149466
12,4.830848,889.071050
13,6.669984,643.924691
14,5.113600,839.910725
15,5.431200,790.795271
16,4.819264,891.208150
17,5.446880,788.518822
18,4.745024,905.151820
19,4.803392,894.152998
20,5.613568,765.104730
21,4.768352,900.723618
22,4.764096,901.528326
23,5.497600,781.244040
24,4.797632,895.226458
25,4.753824,903.476251
26,4.827744,889.642717
27,4.750720,904.066599
28,4.767488,900.886860
29,5.140320,835.544760
30,4.758496,902.589278
31,4.770688,900.282568
32,4.763360,901.667578
33,5.126656,837.771688
34,4.752352,903.756094
35,5.365088,800.539955
36,4.813824,892.215241
37,5.169920,830.760887
38,4.730976,907.839566
39,4.743040,905.530466
40,4.818144,891.415332
41,4.849696,885.615749
42,4.742560,905.622149
43,4.744000,905.347246
44,5.474528,784.536571
45,4.837184,887.906546
46,4.836544,888.024024
47,4.841760,887.067338
48,5.949536,721.899558
49,4.862752,883.237996
50,4.806144,893.640949
51,4.815936,891.823981
52,4.826976,889.784298
53,4.819008,891.255505
54,4.812352,892.488150
55,4.826304,889.908164
56,5.214304,823.689474
57,4.813536,892.268625
58,4.826208,889.925837
59,4.830592,889.118178
60,4.814144,892.155942
61,4.811680,892.612858
62,6.271808,684.805274
63,5.146688,834.510914
